job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percentage,skill_demand_growth_percentage,remote_feasibility_score,ai_adoption_level,education_requirement_level
23,Teacher,Finance,Singapore,2023,47.08,42.21,9.31,137666,141244,2.60,12.8,40.5,34.9,5
24,Truck Driver,Retail,Brazil,2026,75.82,87.86,88.71,123585,115181,-6.80,7.3,24.6,89.9,1
25,Data Analyst,Retail,Australia,2020,42.45,34.12,10.15,109620,130073,18.66,9.7,68.7,22.4,3
26,Teacher,Healthcare,Japan,2020,59.85,53.56,32.54,119579,131099,9.63,9.1,69.2,56.8,3
27,Financial Analyst,Healthcare,Brazil,2020,16.56,15.68,26.52,59279,58822,-0.77,8.4,90.3,63.1,3
28,Financial Analyst,Manufacturing,UK,2022,65.64,65.71,57.69,89102,94677,6.26,-3.6,35.3,2.4,2
29,Financial Analyst,Technology,Australia,2023,55.18,48.06,94.05,144471,141243,-2.23,12.1,11.4,92.8,1
30,Data Analyst,Education,Canada,2021,29.97,35.57,96.36,132361,121153,-8.47,-10.2,86.6,31.7,1
31,Customer Support Rep,Finance,India,2025,36.86,37.70,93.62,113524,103490,-8.84,6.5,65.4,99.0,4
32,Data Analyst,Healthcare,UK,2025,9.81,9.88,87.74,118892,131769,10.83,15.5,42.4,29.4,4
33,Financial Analyst,Healthcare,Canada,2024,66.66,74.92,86.71,139589,146778,5.15,43.5,81.9,65.0,5
34,Teacher,Manufacturing,Brazil,2026,59.14,66.13,89.00,70559,65106,-7.73,2.6,62.1,3.6,2
35,HR Manager,Transportation,Australia,2023,42.59,43.32,28.65,100900,96138,-4.72,15.9,21.4,52.2,5
36,Truck Driver,Finance,Germany,2021,78.90,69.93,62.29,40242,40425,0.46,-1.5,58.7,63.7,1
37,Mechanical Engineer,Technology,Brazil,2021,60.83,72.40,51.63,68755,64205,-6.62,13.5,49.5,7.9,5
38,Customer Support Rep,Technology,India,2025,26.77,31.73,83.60,113517,99892,-12.00,1.7,24.1,25.0,1
39,Customer Support Rep,Finance,USA,2026,63.45,68.89,66.02,63592,77087,21.22,15.3,47.8,24.8,3
40,Data Analyst,Manufacturing,Canada,2025,24.92,27.49,1.44,43929,45878,4.44,12.8,52.7,9.8,4
41,Customer Support Rep,Healthcare,Japan,2021,59.41,58.78,17.32,82062,95458,16.32,-9.3,67.2,4.5,4
42,Teacher,Manufacturing,India,2020,36.22,38.05,50.31,132779,119746,-9.82,9.6,16.4,64.2,4
43,Mechanical Engineer,Transportation,Singapore,2023,11.86,12.26,94.02,99057,114767,15.86,-7.4,51.2,54.6,1
44,Data Analyst,Technology,Singapore,2025,65.90,62.90,96.12,138642,142538,2.81,-1.2,16.4,31.9,3
45,Data Analyst,Manufacturing,Germany,2021,59.14,47.86,81.45,63823,66101,3.57,-1.9,66.6,87.8,5
46,Truck Driver,Healthcare,Singapore,2021,76.45,85.74,28.20,51293,55126,7.47,11.1,99.2,41.3,3
47,Truck Driver,Manufacturing,India,2023,51.04,56.68,34.08,141691,138607,-2.18,16.0,77.6,75.5,5
48,Data Analyst,Technology,Brazil,2026,7.22,8.38,50.53,129175,137984,6.82,1.9,45.0,1.1,1
49,Data Analyst,Manufacturing,UK,2023,63.38,53.02,31.93,144007,145404,0.97,11.0,66.9,44.8,4
50,Truck Driver,Manufacturing,Singapore,2020,45.52,42.40,67.25,120285,127792,6.24,11.3,18.2,49.4,2
51,Teacher,Technology,Singapore,2022,14.03,14.31,44.15,136525,125254,-8.25,1.8,22.9,76.2,4
52,HR Manager,Transportation,Brazil,2025,53.28,44.78,8.41,114116,108741,-4.71,7.3,17.6,98.7,4
53,Accountant,Manufacturing,Canada,2021,36.20,34.33,81.28,143670,133348,-7.18,2.9,79.9,55.8,1
54,Marketing Specialist,Technology,Australia,2020,39.70,46.15,11.12,89115,88950,-0.19,2.1,15.1,11.9,1
55,Marketing Specialist,Energy,Brazil,2026,18.23,19.31,74.60,100004,98917,-1.09,9.0,35.7,86.9,5
56,Accountant,Technology,Brazil,2020,25.65,30.40,1.22,146385,149666,2.24,5.1,16.6,55.4,2
57,Data Analyst,Finance,Germany,2023,67.85,68.48,62.94,113490,137926,21.53,-2.7,62.6,90.1,1
58,Marketing Specialist,Manufacturing,USA,2024,13.18,12.03,95.04,136832,166795,21.90,-3.1,35.0,18.8,1
59,Teacher,Education,Canada,2021,42.46,39.97,58.37,39328,40672,3.42,23.8,37.9,81.4,3
60,Customer Support Rep,Retail,Singapore,2021,72.93,63.09,91.09,128704,111712,-13.20,23.3,94.0,86.6,3
61,Truck Driver,Education,India,2020,28.17,22.83,37.65,127266,105464,-17.13,18.5,97.3,84.2,4
62,Marketing Specialist,Finance,India,2024,68.68,67.82,41.48,62809,62842,0.05,5.5,79.2,94.5,2
63,Financial Analyst,Retail,UK,2022,69.48,62.45,45.05,45499,46046,1.20,10.1,30.6,67.2,1
64,Customer Support Rep,Education,Canada,2021,68.27,64.40,11.36,110589,127743,15.51,6.2,56.8,85.2,4
65,Financial Analyst,Retail,Brazil,2020,48.63,49.82,87.67,78418,83479,6.45,18.7,73.4,21.3,5
66,HR Manager,Finance,UK,2022,19.55,15.75,35.06,100790,88864,-11.83,-15.4,91.4,34.8,1
67,Data Analyst,Healthcare,Canada,2022,35.98,40.06,39.65,104650,86824,-17.03,4.4,51.3,98.0,5
68,Customer Support Rep,Education,Germany,2025,59.48,55.41,63.34,58817,60974,3.67,-4.4,26.4,34.6,3
69,Financial Analyst,Energy,Canada,2026,72.78,72.02,66.76,50678,47991,-5.30,-2.9,25.9,8.9,1
70,Data Analyst,Transportation,Canada,2020,8.44,8.31,20.63,73712,88195,19.65,5.4,13.5,79.9,1
71,Mechanical Engineer,Healthcare,Canada,2021,53.95,44.93,87.36,140505,138926,-1.12,2.8,82.6,74.8,4
72,Financial Analyst,Transportation,Brazil,2020,22.92,20.25,37.05,88143,74787,-15.15,18.7,51.6,74.8,1
73,Data Analyst,Healthcare,Brazil,2020,5.00,4.50,71.33,137425,179736,30.79,16.2,19.7,44.7,3
74,Marketing Specialist,Healthcare,Singapore,2021,47.28,42.41,26.92,75274,70407,-6.47,-5.8,20.8,89.1,1
75,HR Manager,Education,USA,2022,51.55,55.24,78.92,89813,90508,0.77,-3.6,62.8,74.5,2
76,Customer Support Rep,Finance,Australia,2026,55.22,46.99,28.38,73570,80384,9.26,24.1,42.1,98.7,5
77,Teacher,Healthcare,Germany,2026,52.40,46.90,10.18,48343,45198,-6.51,0.1,26.8,28.5,2
78,Accountant,Transportation,USA,2021,22.14,25.65,8.02,92941,95455,2.70,4.5,20.1,39.8,3
79,Teacher,Manufacturing,Canada,2021,77.86,89.25,81.71,60948,64001,5.01,-4.8,93.6,55.7,1
80,Teacher,Technology,Japan,2021,50.01,45.61,76.95,52445,48442,-7.63,-13.1,55.7,24.2,2
81,Truck Driver,Education,Canada,2026,33.04,34.50,28.86,99749,99089,-0.66,-7.1,57.9,5.2,2
82,Customer Support Rep,Technology,Germany,2023,48.56,41.46,6.34,148795,163768,10.06,-0.8,32.9,68.2,3
83,HR Manager,Finance,Canada,2022,63.22,65.63,47.16,79421,84004,5.77,3.0,84.8,96.5,5
84,Teacher,Education,USA,2020,18.70,20.43,93.83,51748,52196,0.87,3.4,61.7,84.2,3
85,Accountant,Retail,USA,2020,19.78,22.12,20.16,49639,51597,3.94,0.8,69.9,52.3,5
86,Teacher,Education,Australia,2023,35.12,40.42,39.24,127992,101906,-20.38,-5.1,51.6,30.1,5
87,Financial Analyst,Finance,Singapore,2024,62.33,62.40,23.22,137949,149391,8.29,-17.1,91.6,62.4,2
88,HR Manager,Technology,Singapore,2020,18.18,21.38,62.77,70189,72565,3.38,0.9,65.8,53.4,5
89,Financial Analyst,Manufacturing,Australia,2023,72.57,80.95,15.17,67407,73004,8.30,-3.6,13.0,57.0,1
90,Mechanical Engineer,Education,India,2025,63.37,72.92,34.21,128551,125082,-2.70,-4.8,81.8,15.0,3
91,Financial Analyst,Retail,Singapore,2022,26.05,28.36,72.00,106938,111359,4.13,23.8,32.7,34.6,4
92,HR Manager,Healthcare,Germany,2023,22.71,26.42,58.34,78102,83213,6.54,4.4,23.8,58.6,4
93,Accountant,Retail,Singapore,2024,45.41,47.44,1.81,134655,136128,1.09,12.3,72.7,92.3,1
94,HR Manager,Retail,Germany,2023,59.51,51.24,57.63,102806,119185,15.93,-0.1,94.1,92.6,5
95,Marketing Specialist,Education,Japan,2023,41.56,35.13,98.48,130668,131396,0.56,15.9,63.2,39.9,4
96,Customer Support Rep,Energy,UK,2025,28.83,26.93,80.29,30556,27463,-10.12,-11.6,58.4,92.0,1
97,HR Manager,Education,India,2026,34.24,32.15,73.75,84266,82079,-2.60,-10.0,22.7,17.6,2
98,HR Manager,Manufacturing,Germany,2021,44.89,43.43,91.48,73487,87075,18.49,16.3,11.2,66.4,1
99,Software Engineer,Manufacturing,Japan,2024,12.46,14.76,14.87,79755,100279,25.73,5.6,16.0,75.0,1
100,Truck Driver,Transportation,Germany,2025,39.69,46.01,20.51,52883,52709,-0.33,-0.4,60.8,6.6,4
101,Truck Driver,Transportation,Germany,2021,79.29,77.81,52.44,82892,93221,12.46,-15.7,24.0,18.2,1
102,Data Analyst,Transportation,Germany,2021,60.32,71.09,37.33,62489,55549,-11.11,22.5,12.3,15.6,5
103,Truck Driver,Technology,Brazil,2021,75.12,79.89,2.71,56637,60724,7.22,-6.3,11.8,10.4,1
104,Truck Driver,Healthcare,Japan,2025,80.99,70.58,65.27,58582,57174,-2.40,1.3,75.0,85.6,5
105,Financial Analyst,Education,Japan,2024,68.12,65.31,66.81,54598,57836,5.93,1.9,11.2,8.6,5
106,Teacher,Energy,UK,2025,24.55,19.90,18.14,99965,109202,9.24,3.2,83.6,34.2,4
107,Truck Driver,Retail,Germany,2026,43.16,41.08,59.03,62168,54208,-12.80,22.6,59.7,43.6,3
108,Financial Analyst,Energy,Germany,2022,30.61,36.10,76.36,46814,46637,-0.38,16.0,90.5,80.0,4
109,Data Analyst,Retail,Germany,2022,29.76,24.08,26.87,94996,82189,-13.48,12.4,22.5,83.5,3
110,Mechanical Engineer,Finance,UK,2021,78.91,79.72,17.17,62677,63904,1.96,-4.8,34.7,55.4,2
111,Teacher,Healthcare,Germany,2020,55.60,62.93,20.64,31320,32121,2.56,14.8,64.1,66.5,4
112,Teacher,Education,Brazil,2023,22.28,25.97,41.88,75977,71229,-6.25,5.3,25.0,73.8,4
113,Software Engineer,Manufacturing,Singapore,2023,5.80,6.04,24.53,76715,69633,-9.23,-8.5,74.7,29.7,5
114,Software Engineer,Transportation,Japan,2020,39.65,39.27,66.37,142420,130195,-8.58,12.0,12.8,26.2,3
115,HR Manager,Transportation,Singapore,2024,51.66,42.39,49.64,101621,113300,11.49,-2.0,19.6,7.5,5
116,Marketing Specialist,Manufacturing,Japan,2021,60.97,60.86,68.84,82179,87996,7.08,-0.6,82.0,69.5,3
117,Teacher,Energy,USA,2023,29.05,30.10,36.10,40990,40685,-0.74,11.2,26.7,54.2,3
118,Teacher,Healthcare,Japan,2021,71.11,77.71,80.66,109054,118148,8.34,9.6,32.5,48.9,5
119,Financial Analyst,Technology,Singapore,2024,25.48,30.46,94.41,34731,36223,4.30,7.1,26.3,56.8,5
120,Software Engineer,Finance,Singapore,2021,64.08,52.14,69.74,65682,65422,-0.40,11.8,87.6,84.5,4
121,Accountant,Technology,Canada,2023,32.34,36.59,3.70,101552,97140,-4.34,1.9,16.9,69.6,3
122,Customer Support Rep,Energy,Australia,2022,48.79,53.18,6.54,67835,77650,14.47,7.0,38.7,62.6,4
123,HR Manager,Transportation,Canada,2026,72.02,75.36,23.30,32928,33199,0.82,15.7,94.5,79.9,1
124,Truck Driver,Technology,Brazil,2020,94.86,89.19,76.72,78232,96216,22.99,1.4,88.6,98.4,3
125,Customer Support Rep,Finance,USA,2026,78.78,76.19,42.14,118510,113530,-4.20,2.2,41.9,28.7,1
126,Customer Support Rep,Manufacturing,USA,2024,45.74,40.87,4.21,32145,32033,-0.35,7.3,44.6,68.0,2
127,Customer Support Rep,Healthcare,Japan,2025,40.28,47.53,78.63,40729,44738,9.84,2.9,95.0,46.7,1
128,Marketing Specialist,Manufacturing,Japan,2025,52.94,45.89,99.12,57801,58763,1.66,9.9,64.7,51.3,3
129,Mechanical Engineer,Healthcare,India,2026,26.15,22.76,22.05,52373,49034,-6.37,16.9,15.2,96.9,2
130,HR Manager,Finance,USA,2022,71.87,84.16,99.49,50867,58093,14.21,-0.7,72.6,15.4,5
131,Teacher,Transportation,Germany,2020,67.11,59.71,22.38,94437,109051,15.48,23.0,18.2,87.8,5
132,Customer Support Rep,Finance,Canada,2026,43.59,37.13,88.87,144678,148814,2.86,8.3,69.0,55.1,5
133,Data Analyst,Technology,Australia,2024,6.09,5.87,37.27,61170,60968,-0.33,23.0,17.3,22.0,4
134,Mechanical Engineer,Finance,Brazil,2025,57.83,48.02,85.12,89418,112013,25.27,-0.3,84.2,34.8,3
135,Software Engineer,Transportation,Japan,2020,47.46,48.71,26.70,135436,143435,5.91,16.1,86.6,86.7,4
136,Mechanical Engineer,Energy,UK,2023,59.59,67.62,69.75,111617,127044,13.82,11.5,24.3,88.1,2
137,Financial Analyst,Retail,Brazil,2026,71.03,57.65,82.58,45464,50950,12.07,-3.2,24.5,81.8,4
138,Truck Driver,Transportation,Canada,2022,83.25,83.50,0.64,64445,65676,1.91,5.5,66.9,26.0,2
139,Data Analyst,Retail,Japan,2021,44.38,45.09,77.98,42838,43906,2.49,20.8,96.7,34.2,4
140,Marketing Specialist,Transportation,Australia,2020,54.28,63.66,10.25,142467,136107,-4.46,6.9,37.1,70.8,4
141,Mechanical Engineer,Healthcare,Japan,2021,14.71,15.20,34.59,104510,98669,-5.59,8.8,78.2,2.5,3
142,HR Manager,Education,Canada,2024,11.55,10.73,48.86,122449,115651,-5.55,23.8,34.6,99.7,3
143,Financial Analyst,Technology,Brazil,2021,39.83,39.06,16.36,125377,112573,-10.21,12.1,17.4,68.1,1
144,Customer Support Rep,Transportation,Japan,2024,70.82,64.39,95.09,48127,51256,6.50,4.0,47.8,63.9,2
145,Truck Driver,Energy,Japan,2026,52.83,48.06,98.40,79120,77211,-2.41,8.5,29.2,3.1,1
146,Data Analyst,Retail,Germany,2023,45.62,43.22,86.44,86785,89760,3.43,9.6,79.4,84.5,2
147,HR Manager,Education,Japan,2024,63.27,66.47,13.12,33903,34569,1.97,12.1,81.7,48.2,5
148,Mechanical Engineer,Transportation,Brazil,2022,18.21,15.48,68.56,81637,81309,-0.40,-9.3,15.8,58.2,3
149,Truck Driver,Retail,Canada,2022,43.83,49.05,31.04,84626,80799,-4.52,-19.2,64.0,29.2,2
150,Data Analyst,Manufacturing,Australia,2020,48.65,55.66,77.99,34754,31394,-9.67,4.5,31.8,98.7,5
151,Accountant,Manufacturing,Germany,2025,19.97,19.97,61.82,114296,111770,-2.21,5.3,39.4,51.8,4
152,HR Manager,Retail,India,2026,16.15,15.19,3.32,39429,35480,-10.02,2.2,61.1,69.0,2
153,HR Manager,Manufacturing,Australia,2021,66.04,58.12,16.75,42548,48502,13.99,14.3,12.8,93.6,3
154,Software Engineer,Healthcare,Canada,2020,5.00,5.08,70.91,134516,146558,8.95,11.4,40.6,81.5,1
155,Financial Analyst,Retail,UK,2025,15.61,18.07,54.76,128076,154655,20.75,-1.9,57.4,73.2,4
156,Data Analyst,Technology,Canada,2023,5.71,4.71,24.71,49145,47571,-3.20,9.2,97.8,33.7,4
157,Truck Driver,Education,UK,2020,37.75,42.12,65.87,89783,105294,17.28,9.4,30.6,99.6,3
158,Truck Driver,Finance,India,2023,93.24,98.84,19.95,111627,108754,-2.57,-11.7,88.1,72.7,4
159,Data Analyst,Technology,UK,2021,51.99,50.44,34.59,74525,76197,2.24,15.5,49.5,72.5,5
160,HR Manager,Finance,Germany,2020,44.07,50.65,90.07,80607,85865,6.52,-10.8,92.1,21.1,5
161,Teacher,Manufacturing,Brazil,2023,53.61,56.43,73.31,45788,48050,4.94,7.6,26.2,23.8,4
162,Truck Driver,Retail,Singapore,2022,93.00,81.13,85.44,89073,93915,5.44,1.3,50.1,51.5,5
163,Marketing Specialist,Technology,India,2026,35.15,36.45,16.35,76930,66970,-12.95,16.6,79.6,13.1,2
164,Customer Support Rep,Retail,India,2021,92.89,91.17,23.61,38820,39118,0.77,-7.8,40.3,82.9,2
165,Accountant,Finance,UK,2020,40.16,36.13,61.71,114813,110810,-3.49,1.5,13.3,73.6,4
166,Truck Driver,Energy,Canada,2020,71.47,70.74,84.42,126680,139732,10.30,7.4,28.5,11.2,2
167,HR Manager,Retail,Japan,2020,28.88,23.77,53.12,142393,152825,7.33,4.2,38.5,50.7,2
168,HR Manager,Manufacturing,Singapore,2020,12.91,11.09,98.66,145814,159176,9.16,8.5,50.9,51.6,5
169,Customer Support Rep,Healthcare,Canada,2026,59.22,63.17,13.97,33597,37320,11.08,-5.4,28.2,67.3,2
170,Data Analyst,Technology,UK,2026,67.89,56.87,67.26,83250,81663,-1.91,7.2,72.3,83.8,3
171,Marketing Specialist,Retail,Japan,2020,76.12,81.70,49.72,104142,106236,2.01,15.5,12.7,93.1,4
172,HR Manager,Transportation,Canada,2024,58.27,62.38,21.57,109066,126881,16.33,-6.5,19.6,65.8,5
173,Truck Driver,Energy,India,2024,94.96,77.80,97.72,78829,81362,3.21,9.2,61.0,73.8,1
174,Teacher,Education,Canada,2020,71.50,68.75,32.70,110111,116689,5.97,12.0,81.8,43.6,1
175,Customer Support Rep,Technology,Canada,2024,82.25,69.75,54.45,30691,27326,-10.96,-9.4,45.7,69.6,1
176,Accountant,Energy,Brazil,2025,37.20,36.44,23.75,74790,87071,16.42,15.1,65.8,46.4,4
177,HR Manager,Healthcare,Singapore,2025,36.59,41.90,51.91,87502,75343,-13.90,-11.5,62.2,53.4,4
178,Data Analyst,Energy,Australia,2023,42.55,47.06,81.30,116175,124992,7.59,7.8,31.9,92.7,3
179,Mechanical Engineer,Finance,UK,2022,14.22,16.69,35.16,42171,35031,-16.93,4.0,35.6,30.7,4
180,Truck Driver,Retail,Singapore,2026,81.21,82.48,31.13,103240,93023,-9.90,14.4,47.2,12.2,5
181,Software Engineer,Energy,India,2022,12.68,13.60,18.14,93020,87426,-6.01,8.2,61.1,25.7,3
182,Mechanical Engineer,Finance,Singapore,2026,77.40,76.90,80.60,96027,97230,1.25,0.7,95.6,60.2,5
183,Software Engineer,Energy,Singapore,2020,57.34,66.16,22.81,55445,47669,-14.03,22.5,85.6,90.0,2
184,Financial Analyst,Education,Japan,2025,34.74,31.08,78.05,62977,61119,-2.95,17.5,70.1,9.6,4
185,Software Engineer,Manufacturing,Canada,2024,43.67,42.83,58.66,50162,53341,6.34,9.1,29.5,9.6,2
186,HR Manager,Energy,Japan,2020,11.65,12.32,60.71,95604,90274,-5.57,-8.7,63.5,49.7,1
187,Marketing Specialist,Manufacturing,UK,2022,79.14,67.64,69.51,78518,91691,16.78,-0.5,72.3,99.1,5
188,Software Engineer,Transportation,India,2021,8.99,7.56,72.43,99406,95638,-3.79,3.0,17.7,89.4,1
189,Truck Driver,Finance,UK,2023,38.43,35.72,22.67,72600,72847,0.34,-2.7,16.1,80.0,3
190,Financial Analyst,Retail,Singapore,2026,26.36,26.78,88.01,108105,86552,-19.94,8.7,40.0,67.0,4
191,Truck Driver,Manufacturing,Japan,2024,94.59,100.71,55.78,117678,109382,-7.05,4.4,60.6,95.8,2
192,Teacher,Manufacturing,Brazil,2025,22.27,23.96,20.09,94299,93250,-1.11,-4.0,78.1,34.8,2
193,Data Analyst,Retail,Singapore,2022,46.54,52.04,92.72,58157,51804,-10.92,1.8,99.3,92.7,5
194,HR Manager,Technology,Canada,2025,47.80,54.34,52.10,104830,106844,1.92,1.9,21.5,82.6,3
195,Marketing Specialist,Energy,UK,2023,64.74,70.15,3.62,66375,61158,-7.86,-8.3,17.9,93.7,5
196,Truck Driver,Education,Australia,2024,63.77,58.81,39.70,83664,86915,3.89,29.9,92.8,49.7,5
197,Teacher,Energy,Australia,2026,79.45,90.62,20.85,141671,142831,0.82,4.0,44.3,87.8,2
198,Customer Support Rep,Transportation,Germany,2026,85.76,96.26,79.00,66562,65397,-1.75,-2.6,25.6,69.5,4
199,Software Engineer,Education,Japan,2025,24.23,28.84,64.10,128698,128376,-0.25,13.2,64.6,76.5,4
200,Teacher,Healthcare,Japan,2020,22.24,22.26,39.87,47565,44666,-6.10,3.1,12.3,13.5,2
201,Financial Analyst,Education,India,2026,77.42,78.95,96.58,81900,82428,0.64,-14.8,49.6,10.6,4
202,Data Analyst,Energy,USA,2025,44.86,39.76,61.96,108024,105718,-2.13,19.9,15.2,99.5,2
203,Teacher,Healthcare,India,2023,14.04,15.14,98.37,58702,55101,-6.13,2.0,72.3,6.2,3
204,Mechanical Engineer,Transportation,India,2026,45.66,54.73,81.40,103826,113685,9.50,-9.9,57.4,42.6,3
205,Financial Analyst,Transportation,Australia,2025,19.15,22.11,44.98,53355,47112,-11.70,-13.0,84.5,73.4,4
206,Financial Analyst,Technology,India,2021,63.85,51.36,41.62,87761,82967,-5.46,8.9,58.2,21.5,3
207,Customer Support Rep,Finance,Singapore,2020,25.85,23.17,97.59,126184,125991,-0.15,10.8,19.9,54.8,1
208,Truck Driver,Healthcare,Canada,2020,56.81,64.63,9.81,88589,84662,-4.43,-3.9,76.4,47.6,1
209,Mechanical Engineer,Technology,Canada,2022,36.31,34.78,45.94,124202,115892,-6.69,15.4,71.9,43.8,3
210,Teacher,Healthcare,Germany,2024,27.83,31.62,3.84,138211,168028,21.57,-1.1,69.3,89.5,4
211,Marketing Specialist,Healthcare,UK,2021,54.57,57.05,6.67,92209,96450,4.60,-1.8,56.1,68.0,1
212,Marketing Specialist,Transportation,Germany,2023,12.92,10.77,71.63,38650,33443,-13.47,-4.7,41.5,77.5,5
213,Accountant,Manufacturing,Japan,2025,56.30,49.21,17.41,41807,46765,11.86,12.2,33.9,2.1,3
214,Truck Driver,Retail,USA,2026,30.75,36.51,29.54,122307,104917,-14.22,20.0,28.5,12.1,4
215,HR Manager,Healthcare,India,2023,53.05,58.88,64.39,93636,87611,-6.44,14.3,98.2,60.2,3
216,Marketing Specialist,Retail,Singapore,2025,50.77,55.81,81.18,108777,104808,-3.65,-3.4,93.5,22.5,3
217,Truck Driver,Retail,Germany,2023,51.05,49.66,43.94,103553,101262,-2.21,2.2,89.8,64.6,4
218,Data Analyst,Manufacturing,Singapore,2024,20.01,22.54,86.14,131582,129383,-1.67,7.8,78.0,46.1,3
219,Marketing Specialist,Retail,Canada,2020,68.94,75.24,77.64,108739,110708,1.81,-8.0,98.6,93.7,4
220,HR Manager,Technology,USA,2024,13.02,11.28,13.17,117118,110927,-5.29,10.9,55.5,84.1,4
221,HR Manager,Manufacturing,Australia,2021,61.30,62.33,59.03,91003,96150,5.66,-12.6,72.0,87.3,2
222,Marketing Specialist,Retail,UK,2025,54.54,60.24,16.01,85387,83602,-2.09,-3.5,82.0,20.4,1
223,Software Engineer,Retail,Japan,2020,38.86,42.48,61.60,52563,58853,11.97,-1.1,59.9,0.5,5
224,Mechanical Engineer,Healthcare,India,2022,63.27,51.51,74.57,54298,53641,-1.21,9.2,39.4,14.9,3
225,Teacher,Healthcare,Germany,2021,31.39,36.12,99.63,74197,87011,17.27,1.0,89.8,59.3,5
226,Mechanical Engineer,Retail,UK,2022,37.41,36.10,69.56,30386,25750,-15.26,17.6,81.5,9.3,4
227,HR Manager,Education,India,2023,51.17,50.78,64.23,37782,43609,15.42,25.1,60.5,60.4,1
228,Accountant,Manufacturing,Singapore,2026,57.35,64.35,26.98,129006,118451,-8.18,5.0,15.3,33.4,5
229,Mechanical Engineer,Finance,Singapore,2020,64.94,70.34,78.86,92072,81560,-11.42,3.1,39.5,43.4,3
230,Financial Analyst,Finance,Japan,2022,16.20,14.39,59.82,118280,106166,-10.24,23.5,67.3,78.6,3
231,Marketing Specialist,Transportation,Australia,2020,18.28,17.62,83.98,76060,90394,18.85,20.4,26.6,36.2,2
232,Truck Driver,Technology,Brazil,2022,48.42,39.24,2.42,129804,131632,1.41,-12.7,36.9,94.1,5
233,Customer Support Rep,Finance,Japan,2025,43.15,41.94,87.27,131032,137762,5.14,-0.3,51.2,48.3,3
234,Teacher,Finance,UK,2020,19.34,16.10,72.79,89575,104456,16.61,0.4,78.9,15.9,1
235,HR Manager,Energy,India,2020,52.72,45.03,75.14,108835,107745,-1.00,3.0,33.6,24.7,2
236,Financial Analyst,Healthcare,Singapore,2023,73.44,66.08,27.19,121128,139208,14.93,2.3,15.9,48.8,3
237,Financial Analyst,Transportation,UK,2023,12.35,10.19,90.64,46709,35386,-24.24,13.8,41.3,90.0,1
238,Truck Driver,Transportation,Canada,2020,26.53,28.27,96.34,97220,82029,-15.63,-0.3,75.8,98.1,3
